type,tick,vehicle_id,total_distance,total_time,stops_made,average_speed,current_speed,is_dwelling,dwell_time_remaining,position_lon,position_lat,gap_m,vehicle_a,vehicle_b,active_vehicles,avg_tick_time_ms,total_stops
vehicle,36,V2,0.0035700000000000003,1172.1960072349616,1.0,0.0,0.0001,True,244.03266196074256,-84.05075913,9.935585816,,,,,,
gap,36,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,36,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,36,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,37,V0,0.00205,1149.8316433807095,1.0,0.0,0.0001,True,324.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,37,V1,0.0013100000000000002,1149.9636334965435,1.0,0.0,9e-05,True,371.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,37,V2,0.0035700000000000003,1207.7545313441601,1.0,0.0,0.0001,True,258.03266196074253,-84.05075913,9.935585816,,,,,,
gap,37,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,37,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,37,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,38,V0,0.00205,1174.3323805366563,1.0,0.0,0.0001,True,336.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,38,V1,0.0013100000000000002,1173.6897898347395,1.0,0.0,9e-05,True,383.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,38,V2,0.0035700000000000003,1237.7314268260243,1.0,0.0,0.0001,True,270.03266196074253,-84.05075913,9.935585816,,,,,,
gap,38,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,38,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,38,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,39,V0,0.00205,1221.5811431681436,1.0,0.0,0.0001,True,348.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,39,V1,0.0013100000000000002,1193.1387828405163,1.0,0.0,9e-05,True,395.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,39,V2,0.0035700000000000003,1263.4533764786615,1.0,0.0,0.0001,True,282.03266196074253,-84.05075913,9.935585816,,,,,,
gap,39,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,39,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,39,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,40,V0,0.00205,1265.1989906716494,1.0,0.0,0.0001,True,358.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,40,V1,0.0013100000000000002,1218.6772748462388,1.0,0.0,9e-05,True,405.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,40,V2,0.0035700000000000003,1289.8108617200521,1.0,0.0,0.0001,True,292.03266196074253,-84.05075913,9.935585816,,,,,,
gap,40,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,40,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,40,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,41,V0,0.00205,1296.1767541445363,1.0,0.0,0.0001,True,369.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,41,V1,0.0013100000000000002,1236.2643810798818,1.0,0.0,9e-05,True,416.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,41,V2,0.0035700000000000003,1322.0103160215522,1.0,0.0,0.0001,True,303.03266196074253,-84.05075913,9.935585816,,,,,,
gap,41,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,41,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,41,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,42,V0,0.00205,1314.0805781748,1.0,0.0,0.0001,True,382.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,42,V1,0.0013100000000000002,1275.1163641834632,1.0,0.0,9e-05,True,429.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,42,V2,0.0035700000000000003,1352.042124249132,1.0,0.0,0.0001,True,316.03266196074253,-84.05075913,9.935585816,,,,,,
gap,42,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,42,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,42,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,43,V0,0.00205,1366.9148928432774,1.0,0.0,0.0001,True,392.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,43,V1,0.0013100000000000002,1307.9247693187735,1.0,0.0,9e-05,True,439.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,43,V2,0.0035700000000000003,1395.6990191534596,1.0,0.0,0.0001,True,326.03266196074253,-84.05075913,9.935585816,,,,,,
gap,43,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,43,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,43,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,44,V0,0.00205,1383.8822531261037,1.0,0.0,0.0001,True,402.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,44,V1,0.0013100000000000002,1336.7033758835548,1.0,0.0,9e-05,True,449.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,44,V2,0.0035700000000000003,1428.9304756936006,1.0,0.0,0.0001,True,336.03266196074253,-84.05075913,9.935585816,,,,,,
gap,44,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,44,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,44,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,45,V0,0.00205,1431.3394623098143,1.0,0.0,0.0001,True,412.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,45,V1,0.0013100000000000002,1349.8942165033452,1.0,0.0,9e-05,True,459.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,45,V2,0.0035700000000000003,1468.836672491689,1.0,0.0,0.0001,True,346.03266196074253,-84.05075913,9.935585816,,,,,,
gap,45,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,45,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,45,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,46,V0,0.00205,1467.2530024479734,1.0,0.0,0.0001,True,424.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,46,V1,0.0013100000000000002,1395.2296784607265,1.0,0.0,9e-05,True,471.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,46,V2,0.0035700000000000003,1505.960527672476,1.0,0.0,0.0001,True,358.03266196074253,-84.05075913,9.935585816,,,,,,
